usuario,hotel_recomendado,hotel_compartido,valor_metrica
376,104,2083,0.7
376,104,1260,0.6666666666666665
376,104,2589,0.6666666666666665
376,104,3806,0.5555555555555556
376,1178,2083,0.8809523809523809
376,1178,1260,0.8666666666666667
376,1178,2589,1.0
376,1178,3806,0.8666666666666667
376,1201,2083,0.5166666666666666
376,1201,1260,0.6399999999999999
376,1201,2589,0.625
376,1201,3806,0.5
376,1442,2083,1.0
376,1442,1260,0.8333333333333333
376,1442,2589,1.0
376,1442,3806,0.7
376,1914,2083,0.5666666666666667
376,1914,1260,0.6399999999999999
376,1914,2589,0.7916666666666667
376,1914,3806,0.5476190476190477
376,1924,2083,1.0
376,1924,1260,1.0
376,1924,2589,1.0
376,1924,3806,1.0
376,1961,2083,1.0
376,1961,1260,0.7333333333333332
376,1961,2589,0.8333333333333333
376,1961,3806,0.7333333333333332
376,210,2083,0.7916666666666667
376,210,1260,0.8333333333333335
376,210,2589,0.8285714285714285
376,210,3806,0.7916666666666667
376,214,2083,0.75
376,214,1260,0.8285714285714285
376,214,2589,1.0
376,214,3806,0.5999999999999999
376,2344,2083,0.48076923076923084
376,2344,1260,0.5999999999999999
376,2344,2589,0.7
376,2344,3806,0.48571428571428577
376,24,2083,0.4833333333333334
376,24,1260,0.5666666666666667
376,24,2589,0.5636363636363635
376,24,3806,0.48245614035087736
376,2406,2083,0.8333333333333333
376,2406,1260,0.8666666666666667
376,2406,2589,1.0
376,2406,3806,0.8333333333333335
376,2424,2083,0.8333333333333333
376,2424,1260,0.8500000000000001
376,2424,2589,1.0
376,2424,3806,0.8500000000000001
376,2617,2083,0.7714285714285714
376,2617,1260,0.8809523809523809
376,2617,2589,1.0
376,2617,3806,0.7222222222222223
376,2618,2083,1.0
376,2618,1260,0.8333333333333333
376,2618,2589,1.0
376,2618,3806,0.6666666666666665
376,2877,2083,0.5357142857142856
376,2877,1260,0.5833333333333333
376,2877,2589,0.7333333333333332
376,2877,3806,0.5111111111111111
376,3101,2083,0.75
376,3101,1260,0.8285714285714285
376,3101,2589,0.8285714285714285
376,3101,3806,0.7916666666666667
376,3398,2083,0.4833333333333334
376,3398,1260,0.75
376,3398,2589,0.75
376,3398,3806,0.4782608695652173
376,3457,2083,1.0
376,3457,1260,1.0
376,3457,2589,1.0
376,3457,3806,1.0
376,3480,2083,0.6818181818181819
376,3480,1260,0.6190476190476191
376,3480,2589,0.7333333333333332
376,3480,3806,0.5833333333333333
376,3651,2083,0.8333333333333333
376,3651,1260,0.8666666666666667
376,3651,2589,1.0
376,3651,3806,0.8666666666666667
376,3700,2083,1.0
376,3700,1260,1.0
376,3700,2589,1.0
376,3700,3806,0.8666666666666667
376,3764,2083,0.43157894736842106
376,3764,1260,0.6444444444444444
376,3764,2589,0.7714285714285714
376,3764,3806,0.46753246753246747
376,3966,2083,0.75
376,3966,1260,0.6388888888888888
376,3966,2589,0.6388888888888888
376,3966,3806,0.75
376,4073,2083,0.5833333333333333
376,4073,1260,0.6399999999999999
376,4073,2589,0.7714285714285714
376,4073,3806,0.5444444444444445
376,4088,2083,0.8333333333333333
376,4088,1260,0.8333333333333333
376,4088,2589,0.8666666666666667
376,4088,3806,0.8666666666666667
376,4184,2083,0.6666666666666667
376,4184,1260,0.6666666666666665
376,4184,2589,0.75
376,4184,3806,0.7037037037037037
376,4359,2083,0.7714285714285714
376,4359,1260,0.7222222222222223
376,4359,2589,0.6444444444444444
376,4359,3806,0.6333333333333333
376,45,2083,1.0
376,45,1260,0.75
376,45,2589,0.8333333333333333
376,45,3806,0.75
376,4566,2083,0.6666666666666665
376,4566,1260,0.7714285714285714
376,4566,2589,1.0
376,4566,3806,0.6444444444444444
376,4567,2083,0.7727272727272727
376,4567,1260,0.6190476190476191
376,4567,2589,0.8333333333333333
376,4567,3806,0.5833333333333333
376,4604,2083,1.0
376,4604,1260,1.0
376,4604,2589,1.0
376,4604,3806,1.0
376,4634,2083,0.5357142857142858
376,4634,1260,0.5692307692307692
376,4634,2589,0.6888888888888889
376,4634,3806,0.5
376,473,2083,0.5192307692307692
376,473,1260,0.6399999999999999
376,473,2589,0.6444444444444444
376,473,3806,0.5
376,4845,2083,0.8666666666666667
376,4845,1260,0.8285714285714285
376,4845,2589,0.8666666666666667
376,4845,3806,0.8928571428571428
376,4875,2083,0.7333333333333332
376,4875,1260,0.8666666666666667
376,4875,2589,1.0
376,4875,3806,0.7
376,5083,2083,0.6785714285714286
376,5083,1260,0.75
376,5083,2589,0.8666666666666667
376,5083,3806,0.6515151515151516
376,5168,2083,0.7142857142857142
376,5168,1260,0.5333333333333332
376,5168,2589,0.6190476190476191
376,5168,3806,0.4750000000000001
376,5169,2083,0.6666666666666667
376,5169,1260,0.8333333333333333
376,5169,2589,0.7333333333333332
376,5169,3806,0.5681818181818181
376,5176,2083,0.5666666666666667
376,5176,1260,0.6388888888888891
376,5176,2589,0.6399999999999999
376,5176,3806,0.5333333333333332
376,522,2083,0.6190476190476191
376,522,1260,0.75
376,522,2589,0.8500000000000001
376,522,3806,0.6785714285714286
376,5222,2083,0.7333333333333332
376,5222,1260,0.5833333333333333
376,5222,2589,0.6388888888888888
376,5222,3806,0.5428571428571427
376,5336,2083,0.6818181818181819
376,5336,1260,0.5833333333333333
376,5336,2589,0.6666666666666665
376,5336,3806,0.513157894736842
376,5656,2083,0.75
376,5656,1260,0.7777777777777777
376,5656,2589,0.8333333333333333
376,5656,3806,0.8333333333333333
376,652,2083,1.0
376,652,1260,1.0
376,652,2589,1.0
376,652,3806,1.0
376,774,2083,0.8333333333333333
376,774,1260,0.7333333333333332
376,774,2589,0.7333333333333332
376,774,3806,0.75
376,798,2083,0.5833333333333333
376,798,1260,0.8666666666666667
376,798,2589,0.7714285714285714
376,798,3806,0.5428571428571427
376,880,2083,1.0
376,880,1260,0.8333333333333333
376,880,2589,1.0
376,880,3806,0.8333333333333333
376,904,2083,0.6666666666666667
376,904,1260,0.7333333333333332
376,904,2589,0.7037037037037037
376,904,3806,0.625
376,934,2083,1.0
376,934,1260,1.0
376,934,2589,1.0
376,934,3806,1.0
