usuario,hotel_recomendado,hotel_consumido,propiedad,jaccard_similarity,cosine_similarity,shared_attribute_count,weighted_shared_attribute_score,shared_category_count,shared_location_count,category_alignment_score,path_count,path_length,weighted_kps
3,1693,1783,,0.16363636363636364,0.2834733547569204,9,11.8,2,1,0.375,9,2,11.8
3,1729,457,,0.1111111111111111,0.2075143391598224,3,3.8,1,0,0.5714285714285714,3,2,3.8
3,1729,2513,,0.10714285714285714,0.19867985355975656,3,4.3,2,0,0.5714285714285714,3,2,4.3
3,1729,1941,,0.06896551724137931,0.13245323570650439,2,1.3,0,0,0.5714285714285714,2,2,1.3
3,1729,1783,,0.175,0.3034884893334419,7,8.8,2,0,0.5714285714285714,7,2,8.8
3,2085,457,,0.061224489795918366,0.14126448280440332,3,3.8,1,0,0.23076923076923078,3,2,3.8
3,2085,2513,,0.0392156862745098,0.09016696346674324,2,2.3,1,0,0.23076923076923078,2,2,2.3
3,2085,1941,,0.06,0.13525044520011487,3,2.3,0,0,0.23076923076923078,3,2,2.3
3,2085,1783,,0.1694915254237288,0.2951406680504776,10,11.8,2,0,0.23076923076923078,10,2,11.8
3,2101,457,,0.11538461538461539,0.21320071635561047,3,3.8,1,0,0.8333333333333334,3,2,3.8
3,2101,2513,,0.1111111111111111,0.20412414523193154,3,4.3,2,0,0.8333333333333334,3,2,4.3
3,2101,1941,,0.07142857142857142,0.13608276348795434,2,1.3,0,0,0.8333333333333334,2,2,1.3
3,2101,1783,,0.21052631578947367,0.3563483225498992,8,10.8,3,0,0.8333333333333334,8,2,10.8
3,2109,457,,0.038461538461538464,0.07537783614444091,1,0.3,0,0,0.5,1,2,0.3
3,2109,2513,,0.037037037037037035,0.07216878364870323,1,0.3,0,0,0.5,1,2,0.3
3,2109,1941,,0.16666666666666666,0.2886751345948129,4,4.3,1,0,0.5,4,2,4.3
3,2109,1783,,0.07317073170731707,0.1417366773784602,3,2.3,0,0,0.5,3,2,2.3
3,2290,457,,0.05,0.09534625892455924,1,0.3,0,0,0.0,1,2,0.3
3,2290,2513,,0.047619047619047616,0.09128709291752768,1,0.3,0,0,0.0,1,2,0.3
3,2290,1941,,0.1,0.18257418583505536,2,1.8,0,0,0.0,2,2,1.8
3,2290,1783,,0.02702702702702703,0.05976143046671968,1,0.3,0,0,0.0,1,2,0.3
3,2344,457,,0.01639344262295082,0.0422200330920749,1,0.3,0,0,0.3076923076923077,1,2,0.3
3,2344,2513,,0.016129032258064516,0.040422604172722164,1,0.3,0,0,0.3076923076923077,1,2,0.3
3,2344,1941,,0.06779661016949153,0.16169041669088866,4,4.8,1,0,0.3076923076923077,4,2,4.8
3,2344,1783,,0.09722222222222222,0.18523964340873708,7,9.3,3,0,0.3076923076923077,7,2,9.3
3,25,457,,0.25,0.4029114820126901,5,7.8,3,0,0.6,5,2,7.8
3,25,2513,,0.18181818181818182,0.3086066999241839,4,6.3,3,0,0.6,4,2,6.3
3,25,1941,,0.04,0.07715167498104597,1,0.3,0,0,0.6,1,2,0.3
3,25,1783,,0.13513513513513514,0.2525381361380527,5,6.8,2,0,0.6,5,2,6.8
3,2557,457,,0.04,0.0778498944161523,1,0.3,0,0,0.0,1,2,0.3
3,2557,2513,,0.08,0.14907119849998599,2,1.8,0,0,0.0,2,2,1.8
3,2557,1941,,0.08,0.14907119849998599,2,1.3,0,0,0.0,2,2,1.3
3,2557,1783,,0.075,0.14638501094227996,3,2.3,0,0,0.0,3,2,2.3
3,2617,457,,0.043478260869565216,0.08362420100070908,1,0.3,0,0,1.0,1,2,0.3
3,2617,2513,,0.08695652173913043,0.16012815380508716,2,1.8,0,0,1.0,2,2,1.8
3,2617,1941,,0.25,0.4003203845127179,5,5.3,1,0,1.0,5,2,5.3
3,2617,1783,,0.07894736842105263,0.15724272550828775,3,2.3,0,0,1.0,3,2,2.3
3,2963,457,,0.18518518518518517,0.3289758474798845,5,11.5,3,2,0.75,5,2,11.5
3,2963,2513,,0.2222222222222222,0.37796447300922725,6,13.0,3,2,0.75,6,2,13.0
3,2963,1941,,0.13793103448275862,0.25197631533948484,4,6.5,1,1,0.75,4,2,6.5
3,2963,1783,,0.2564102564102564,0.4123930494211613,10,17.5,4,2,0.75,10,2,17.5
3,2972,457,,0.16,0.2842676218074806,4,6.3,3,0,0.5555555555555556,4,2,6.3
3,2972,2513,,0.2,0.3402069087198859,5,7.8,3,0,0.5555555555555556,5,2,7.8
3,2972,1941,,0.034482758620689655,0.06804138174397717,1,0.3,0,0,0.5555555555555556,1,2,0.3
3,2972,1783,,0.15,0.2672612419124244,6,9.3,4,0,0.5555555555555556,6,2,9.3
3,3069,457,,0.05,0.09534625892455924,1,0.3,0,0,0.0,1,2,0.3
3,3069,2513,,0.047619047619047616,0.09128709291752768,1,0.3,0,0,0.0,1,2,0.3
3,3069,1941,,0.047619047619047616,0.09128709291752768,1,0.3,0,0,0.0,1,2,0.3
3,3069,1783,,0.02702702702702703,0.05976143046671968,1,0.3,0,0,0.0,1,2,0.3
3,3119,457,,0.02564102564102564,0.05598925109558543,1,0.3,0,0,0.2,1,2,0.3
3,3119,2513,,0.05128205128205128,0.1072112534837795,2,1.8,0,0,0.2,2,2,1.8
3,3119,1941,,0.10810810810810811,0.214422506967559,4,4.3,1,0,0.2,4,2,4.3
3,3119,1783,,0.05555555555555555,0.10527936095153946,3,2.3,0,0,0.2,3,2,2.3
3,3136,457,,0.04,0.0778498944161523,1,0.3,0,0,0.5,1,2,0.3
3,3136,2513,,0.08,0.14907119849998599,2,1.8,0,0,0.5,2,2,1.8
3,3136,1941,,0.038461538461538464,0.07453559924999299,1,0.3,0,0,0.5,1,2,0.3
3,3136,1783,,0.13157894736842105,0.24397501823713327,5,6.3,2,0,0.5,5,2,6.3
3,3165,457,,0.03333333333333333,0.06741998624632421,1,0.3,0,0,0.6666666666666666,1,2,0.3
3,3165,2513,,0.03225806451612903,0.06454972243679027,1,0.3,0,0,0.6666666666666666,1,2,0.3
3,3165,1941,,0.18518518518518517,0.3227486121839514,5,5.3,1,0,0.6666666666666666,5,2,5.3
3,3165,1783,,0.11627906976744186,0.21128856368212912,5,5.3,1,0,0.6666666666666666,5,2,5.3
3,3178,457,,0.17647058823529413,0.30151134457776363,3,5.8,0,2,0.0,3,2,5.8
3,3178,2513,,0.16666666666666666,0.28867513459481287,3,5.8,0,2,0.0,3,2,5.8
3,3178,1941,,0.10526315789473684,0.19245008972987526,2,2.8,0,1,0.0,2,2,2.8
3,3178,1783,,0.08823529411764706,0.1889822365046136,3,5.8,0,2,0.0,3,2,5.8
3,3209,457,,0.19047619047619047,0.3223291856101521,4,7.8,1,2,0.25,4,2,7.8
3,3209,2513,,0.23809523809523808,0.3857583749052298,5,9.3,1,2,0.25,5,2,9.3
3,3209,1941,,0.13043478260869565,0.23145502494313788,3,3.8,0,1,0.25,3,2,3.8
3,3209,1783,,0.16666666666666666,0.30304576336566325,6,9.8,1,2,0.25,6,2,9.8
3,3237,457,,0.23809523809523808,0.3892494720807615,5,8.8,1,3,0.4,5,2,8.8
3,3237,2513,,0.22727272727272727,0.372677996249965,5,8.8,1,3,0.4,5,2,8.8
3,3237,1941,,0.17391304347826086,0.29814239699997197,4,5.8,1,1,0.4,4,2,5.8
3,3237,1783,,0.13157894736842105,0.24397501823713327,5,7.8,0,3,0.4,5,2,7.8
3,3484,457,,0.23529411764705882,0.38138503569823695,4,6.8,0,3,0.0,4,2,6.8
3,3484,2513,,0.2222222222222222,0.3651483716701107,4,6.8,0,3,0.0,4,2,6.8
3,3484,1941,,0.1,0.18257418583505536,2,2.8,0,1,0.0,2,2,2.8
3,3484,1783,,0.11764705882352941,0.23904572186687872,4,6.8,0,3,0.0,4,2,6.8
3,3732,457,,0.03333333333333333,0.06741998624632421,1,0.3,0,0,0.0,1,2,0.3
3,3732,2513,,0.06666666666666667,0.12909944487358055,2,1.8,0,0,0.0,2,2,1.8
3,3732,1941,,0.14285714285714285,0.2581988897471611,4,3.3,0,0,0.0,4,2,3.3
3,3732,1783,,0.11627906976744186,0.21128856368212912,5,4.3,0,0,0.0,5,2,4.3
3,3737,457,,0.16666666666666666,0.28603877677367767,3,5.8,0,2,0.0,3,2,5.8
3,3737,2513,,0.15789473684210525,0.27386127875258304,3,5.8,0,2,0.0,3,2,5.8
3,3737,1941,,0.1,0.18257418583505536,2,2.8,0,1,0.0,2,2,2.8
3,3737,1783,,0.08571428571428572,0.17928429140015903,3,5.8,0,2,0.0,3,2,5.8
3,393,457,,0.08571428571428572,0.17407765595569785,3,4.8,1,1,0.18181818181818182,3,2,4.8
3,393,2513,,0.08333333333333333,0.16666666666666666,3,4.8,1,1,0.18181818181818182,3,2,4.8
3,393,1941,,0.11428571428571428,0.2222222222222222,4,4.8,0,1,0.18181818181818182,4,2,4.8
3,393,1783,,0.1,0.181848241863327,5,6.8,1,1,0.18181818181818182,5,2,6.8
3,4088,457,,0.16666666666666666,0.29250896965085227,4,6.3,3,0,0.7142857142857143,4,2,6.3
3,4088,2513,,0.20833333333333334,0.35007002100700246,5,7.8,3,0,0.7142857142857143,5,2,7.8
3,4088,1941,,0.03571428571428571,0.0700140042014005,1,0.3,0,0,0.7142857142857143,1,2,0.3
3,4088,1783,,0.18421052631578946,0.3208444739598739,7,10.3,4,0,0.7142857142857143,7,2,10.3
3,4122,457,,0.045454545454545456,0.08703882797784893,1,0.3,0,0,1.0,1,2,0.3
3,4122,2513,,0.09090909090909091,0.16666666666666669,2,1.8,0,0,1.0,2,2,1.8
3,4122,1941,,0.2,0.33333333333333337,4,4.3,1,0,1.0,4,2,4.3
3,4122,1783,,0.08108108108108109,0.1636634176769943,3,2.3,0,0,1.0,3,2,2.3
3,4183,457,,0.02702702702702703,0.058025885318565944,1,0.3,0,0,0.6666666666666666,1,2,0.3
3,4183,2513,,0.02631578947368421,0.05555555555555555,1,0.3,0,0,0.6666666666666666,1,2,0.3
3,4183,1941,,0.11428571428571428,0.2222222222222222,4,4.3,1,0,0.6666666666666666,4,2,4.3
3,4183,1783,,0.1956521739130435,0.32732683535398854,9,9.3,1,0,0.6666666666666666,9,2,9.3
3,4359,457,,0.030303030303030304,0.06286946134619316,1,0.3,0,0,0.5555555555555556,1,2,0.3
3,4359,2513,,0.06060606060606061,0.12038585308576923,2,1.8,0,0,0.5555555555555556,2,2,1.8
3,4359,1941,,0.09375,0.18057877962865385,3,3.3,1,0,0.5555555555555556,3,2,3.3
3,4359,1783,,0.18604651162790697,0.31524416249564025,8,11.3,4,0,0.5555555555555556,8,2,11.3
3,4464,457,,0.05714285714285714,0.11826247919781652,2,1.8,0,0,0.5,2,2,1.8
3,4464,2513,,0.02702702702702703,0.056613851707229795,1,0.3,0,0,0.5,1,2,0.3
3,4464,1941,,0.11764705882352941,0.22645540682891918,4,4.3,1,0,0.5,4,2,4.3
3,4464,1783,,0.2,0.3335621924974955,9,10.8,2,0,0.5,9,2,10.8
3,45,457,,0.13636363636363635,0.24174688920761409,3,5.8,0,2,0.0,3,2,5.8
3,45,2513,,0.13043478260869565,0.23145502494313788,3,5.8,0,2,0.0,3,2,5.8
3,45,1941,,0.18181818181818182,0.3086066999241839,4,4.8,0,1,0.0,4,2,4.8
3,45,1783,,0.16666666666666666,0.30304576336566325,6,8.8,0,2,0.0,6,2,8.8
3,473,457,,0.06382978723404255,0.14484136487558028,3,3.8,1,0,0.6,3,2,3.8
3,473,2513,,0.0625,0.1386750490563073,3,4.3,2,0,0.6,3,2,4.3
3,473,1941,,0.0625,0.1386750490563073,3,2.3,0,0,0.6,3,2,2.3
3,473,1783,,0.15517241379310345,0.27235238970096104,9,12.8,4,0,0.6,9,2,12.8
3,4825,457,,0.15,0.26111648393354675,3,5.8,0,2,1.0,3,2,5.8
3,4825,2513,,0.14285714285714285,0.25000000000000006,3,5.8,0,2,1.0,3,2,5.8
3,4825,1941,,0.4117647058823529,0.5833333333333334,7,9.3,1,1,1.0,7,2,9.3
3,4825,1783,,0.14285714285714285,0.2727723627949905,5,7.8,0,2,1.0,5,2,7.8
3,4830,457,,0.15,0.26111648393354675,3,5.8,0,2,0.0,3,2,5.8
3,4830,2513,,0.14285714285714285,0.25000000000000006,3,5.8,0,2,0.0,3,2,5.8
3,4830,1941,,0.14285714285714285,0.25000000000000006,3,3.8,0,1,0.0,3,2,3.8
3,4830,1783,,0.14285714285714285,0.2727723627949905,5,7.8,0,2,0.0,5,2,7.8
3,4942,457,,0.23809523809523808,0.3892494720807615,5,8.8,1,3,0.3333333333333333,5,2,8.8
3,4942,2513,,0.22727272727272727,0.372677996249965,5,8.8,1,3,0.3333333333333333,5,2,8.8
3,4942,1941,,0.22727272727272727,0.372677996249965,5,7.3,1,1,0.3333333333333333,5,2,7.3
3,4942,1783,,0.13157894736842105,0.24397501823713327,5,7.8,0,3,0.3333333333333333,5,2,7.8
3,4990,457,,0.05128205128205128,0.11009637651263607,2,2.8,0,1,0.2222222222222222,2,2,2.8
3,4990,2513,,0.07692307692307693,0.15811388300841897,3,4.3,0,1,0.2222222222222222,3,2,4.3
3,4990,1941,,0.10526315789473684,0.21081851067789195,4,4.8,0,1,0.2222222222222222,4,2,4.8
3,4990,1783,,0.16,0.2760262237369417,8,10.8,2,1,0.2222222222222222,8,2,10.8
3,5061,457,,0.08,0.15075567228888181,2,2.3,1,0,0.25,2,2,2.3
3,5061,2513,,0.12,0.21650635094610968,3,3.8,1,0,0.25,3,2,3.8
3,5061,1941,,0.037037037037037035,0.07216878364870323,1,0.3,0,0,0.25,1,2,0.3
3,5061,1783,,0.07317073170731707,0.1417366773784602,3,2.3,0,0,0.25,3,2,2.3
3,522,457,,0.037037037037037035,0.07312724241271307,1,0.3,0,0,0.0,1,2,0.3
3,522,2513,,0.03571428571428571,0.0700140042014005,1,0.3,0,0,0.0,1,2,0.3
3,522,1941,,0.11538461538461539,0.2100420126042015,3,2.3,0,0,0.0,3,2,2.3
3,522,1783,,0.125,0.2291746242570528,5,4.3,0,0,0.0,5,2,4.3
3,5605,457,,0.06666666666666667,0.1315903389919538,2,2.3,1,0,0.375,2,2,2.3
3,5605,2513,,0.06451612903225806,0.12598815766974242,2,2.3,1,0,0.375,2,2,2.3
3,5605,1941,,0.1,0.18898223650461363,3,3.3,1,0,0.375,3,2,3.3
3,5605,1783,,0.11363636363636363,0.20619652471058064,5,5.3,1,0,0.375,5,2,5.3
3,5855,457,,0.1,0.18181818181818182,2,2.3,1,0,0.5,2,2,2.3
3,5855,2513,,0.09523809523809523,0.17407765595569785,2,2.3,1,0,0.5,2,2,2.3
3,5855,1941,,0.045454545454545456,0.08703882797784893,1,0.3,0,0,0.5,1,2,0.3
3,5855,1783,,0.02631578947368421,0.05698028822981897,1,0.3,0,0,0.5,1,2,0.3
3,774,457,,0.21739130434782608,0.36563621206356534,5,7.8,3,0,1.0,5,2,7.8
3,774,2513,,0.16,0.280056016805602,4,6.3,3,0,1.0,4,2,6.3
3,774,1941,,0.03571428571428571,0.0700140042014005,1,0.3,0,0,1.0,1,2,0.3
3,774,1783,,0.21621621621621623,0.3666793988112845,8,11.8,4,0,1.0,8,2,11.8
3,888,457,,0.02564102564102564,0.05598925109558543,1,0.3,0,0,0.5,1,2,0.3
3,888,2513,,0.025,0.05360562674188975,1,0.3,0,0,0.5,1,2,0.3
3,888,1941,,0.10810810810810811,0.214422506967559,4,4.3,1,0,0.5,4,2,4.3
3,888,1783,,0.1875,0.3158380828546184,9,9.3,1,0,0.5,9,2,9.3
3,901,457,,0.17391304347826086,0.30151134457776363,4,6.8,0,3,0.5,4,2,6.8
3,901,2513,,0.16666666666666666,0.2886751345948129,4,6.8,0,3,0.5,4,2,6.8
3,901,1941,,0.2727272727272727,0.43301270189221935,6,8.3,1,1,0.5,6,2,8.3
3,901,1783,,0.15789473684210525,0.2834733547569204,6,8.8,0,3,0.5,6,2,8.8
3,907,457,,0.20833333333333334,0.3553345272593508,5,8.8,1,3,0.8,5,2,8.8
3,907,2513,,0.25,0.4082482904638631,6,10.3,1,3,0.8,6,2,10.3
3,907,1941,,0.2,0.3402069087198859,5,6.8,1,1,0.8,5,2,6.8
3,907,1783,,0.2777777777777778,0.44543540318737396,10,14.8,2,3,0.8,10,2,14.8
